forberedelse,2736,2,24
lÃ¦rerforening,3228,3,2
folkeskole,666,3,6760
undervisning,642,3,5454
lÃ¦rernes,2231,3,325
lÃ¦rerne,537,3,7275
lÃ¦rere,425,3,9876
reformen,934,2,421
folkeskolereformen,1208,3,1119
skoler,430,3,8264
inklusion,1692,3,360
skolen,384,3,11936
folkeskolen,229,3,13402
folkeskoler,1897,3,56
lÃ¦rer,605,3,814
skolerne,787,3,523
elever,214,3,20636
eleverne,417,3,10888
lange,650,1,2262
skole,154,3,17682
klasse,768,2,1503
skoledag,1864,3,4
matematik,2216,2,2
antorini,2309,2,35
skolereformen,1987,3,11
test,2824,2,61
skoledage,1814,3,1559
christine,2731,2,16
privatskoler,4357,3,2
karakterkrav,2580,3,1058
kortere,1382,1,257
karakterer,2122,3,59
fritid,2801,2,4
gymnasium,1105,3,4033
nationale,1400,1,37
forældre,195,2,15855
faglige,1090,1,18
understøttende,3059,2,9
børn,7,2,46062
mobning,2742,2,274
børnene,276,2,11835
tvungne,3234,1,57
dygtige,409,0,1331
meretryghed,3631,1,1873
praktikpladser,2038,3,2110
efterskole,3206,3,7
frie,704,0,390
børnehave,2679,3,14
start,862,0,13
faglærte,2872,0,229
skolevalg,3060,3,28
lærlinge,2903,3,468
daginstitutioner,1830,3,2049
voksne,567,1,7711
børns,954,2,1945
vælge,515,0,222
forældrene,916,2,999
lektier,3263,3,8
helsingør,2054,0,1888
engagerede,1124,0,97
merete,1805,0,461
tid,28,1,32191
familierne,1849,1,24
barn,541,2,8077
nordsjælland,1106,0,3924
hillerød,1260,0,4082
rudersdal,2958,0,63
mangler,370,1,493
ellen,2540,0,1766
vælger,566,0,12
børne-,1866,2,26
krav,239,0,2831
hørsholm,4069,0,13
fv,1306,0,4923
køge,1197,0,2153
timer,332,2,3391
tvsyd,2769,0,2882
brug,33,0,12207
tv2valg,4908,0,323
alene,304,0,13
dkmedier,2257,0,3668
dkpol,122,0,10091
drenge,1488,1,521
bedst,387,1,415
riisager,2501,0,102
drdinstemme,4907,0,272
super,562,0,101
uge,211,1,1524
mercado,3124,0,404
lede,2082,0,36
frederikssund,2655,0,522
livet,224,0,3057
længe,250,0,703
mai,2171,0,1476
nettet,2187,0,106
besøg,181,0,15473
arv,2591,0,93
trane,3533,0,500
yahya,5793,0,25
nørby,3436,0,431
faxe,2602,0,445
ku,2077,0,79
taastrup,3853,0,34
mads,1882,0,141
barnet,1618,2,1108
haft,198,0,239
danskdf,6299,0,55
stevns,3182,0,199
4,361,0,4707
forskellige,319,0,206
behov,296,1,753
mødte,706,0,536
blot,245,0,547
mor,529,0,6897
tænker,377,0,122
brøndby,2267,0,1095
plakater,2438,0,475
øjnene,979,0,111
rundt,169,0,3962
enkelte,327,0,1341
aktiv,1298,0,695
rigtig,40,0,12569
møde,89,0,20554
allerede,130,0,486
debat,81,0,26473
familien,667,1,1563
byrådet,1054,0,6358
enkelt,455,0,665
7,736,0,2741
undervisningen,1367,3,1568
klasser,2391,1,250
elev,2155,3,169
forberedelsestid,6293,3,16
undervise,3637,3,8
læring,1753,3,508
adgangskrav,3526,2,706
forberede,3702,1,8
gymnasiereform,3939,3,145
bondo,6170,0,65
klassen,2931,1,66
daginstitutionerne,3012,3,1862
børnenes,1578,1,235
fagligt,1408,1,74
inklusionen,4663,1,89
børnehaver,3178,3,699
elevernes,2779,3,40
børnehaven,3208,3,175
voksen,2766,1,25
fag,1872,1,316
trivsel,1669,1,100
implementeringen,5236,1,4
dygtigere,2838,1,2
tvungen,5461,0,5
arbejdstid,3404,1,123
klasserne,4151,3,7
lektiecaféer,4491,3,33
institutioner,1139,1,389
barnets,3590,1,857
motiverede,7547,1,1
skolegang,4588,3,8
vejledning,2979,1,3
bevægelse,1453,1,729
teknisk,2666,0,257
forældrenes,3703,1,36
fritidsaktiviteter,4493,1,11
unge,23,1,8553
motion,3935,1,10
detdanmarkduelsker,9527,0,4
konflikten,2949,1,51
skolevalget,5947,3,94
stemthiesen,8652,0,12
hillerødpol,6686,0,54
pædagogiske,3180,2,10
leg,3176,1,13
inkludere,6023,1,2
tekniske,3891,1,39
tarv,6986,1,24
forældres,4719,1,9
minimumsnormeringer,5478,3,2
renovering,4885,1,8
håndværkere,2884,0,75
inkluderes,8344,1,5
indgrebet,6173,0,10
dagtilbud,3992,3,13
praktikplads,5051,3,23
mangle,3469,1,81
kvalitet,735,1,290
dannelse,2525,1,145
campus,6180,2,14
lærepladser,5188,2,123
læreplads,6428,2,7
skaffe,2069,1,25
produktionsskole,8380,3,10
ordblinde,7898,1,20
vokse,2022,0,81
opdragelse,5160,1,15
produktionsskolerne,7935,3,19
mandlige,3647,0,89
institution,2767,1,10
håndværk,3836,0,34
give,41,0,5699
menneskerførst,5353,0,27
sex,3536,0,362
fedt,1203,0,412
svigt,3371,0,41
unges,2251,1,394
produktionsskolen,7733,3,4
tests,6001,1,4
lege,3161,1,9
skills,5238,1,181
lukning,4477,1,17
rådgivning,3433,1,28
gravide,6162,0,4
mætte,9045,1,4
klausuler,5379,0,34
drengene,4436,0,112
unger,4109,1,20
svigter,2329,1,48
dreng,2202,0,1806
anbragte,7526,1,9
engageret,2529,0,16
foreningsliv,5263,0,5
barndom,4749,1,8
tidlig,2204,0,71
pigerne,3461,0,302
børnefamilier,2499,1,779
lokaler,3694,0,10
ansvar,127,0,7069
tryg,2192,0,30
