Ã¦ldreomrÃ¥det,2639,3,4
vÃ¦rdig,1875,2,3196
pleje,2514,3,448
omsorg,1207,2,2525
hÃ¦ve,991,1,1991
Ã¦ldrepleje,3398,3,18
thyra,1510,2,5680
hÃ¦nder,939,2,134
frank,1201,1,4368
Ã¦ldreplejen,2361,3,4307
pensionsalderen,2042,3,3289
hÃ¸jere,318,1,1023
pensionsalder,1776,3,3788
bad,1961,2,4
politikernes,2466,0,147
plejehjem,1303,3,6234
pension,1205,3,4796
gÃ¥,49,1,8322
mad,459,1,10560
Ã¦ldre,176,3,10259
varme,1170,2,17
resten,344,0,10
lotte,3128,0,71
politikerne,535,0,1333
pensionister,2935,3,53
astrid,3401,0,107
ministre,1342,0,8
lÃ¦kker,4360,0,18
maden,2998,1,957
lÃ¦ngere,164,0,989
skære,758,1,108
befolkningen,633,0,116
krag,4802,0,11
ansatte,331,0,8009
politikere,106,0,20877
kommunerne,254,0,9269
morgenmad,2971,1,293
sektor,559,0,6982
spise,1330,1,3967
borgere,165,0,6427
nedskæringer,1237,1,50
lave,141,0,2665
drikke,3019,1,116
thulesen,1038,0,4646
dahl,785,0,5129
besparelser,782,1,976
tillid,456,1,4784
øl,2306,0,795
kommuner,368,0,5885
kaffe,1250,0,1100
aalborg,218,0,9249
spiser,2589,0,1383
folkepartis,856,1,2081
synes,31,0,33750
forslag,59,0,17058
frederiksen,702,0,5818
kommunen,393,0,10084
offentligt,903,0,2529
kristian,507,0,10210
endnu,32,0,7908
folketinget,55,0,26516
kommune,98,0,24546
mette,360,0,7271
socialdemokratiet,441,0,762
kommunale,1032,0,418
folkeparti,77,0,23354
løkke,155,0,11621
henrik,822,0,5806
forslaget,508,0,4304
rasmussen,599,0,6812
flertal,199,0,8925
lars,161,0,10033
løkkes,1747,0,541
samme,48,0,6710
minister,646,0,813
s,166,0,8978
afsat,1360,1,331
v,477,0,2259
kommunens,1109,0,5318
partier,112,0,15991
k,682,0,1335
statsministeren,600,0,4152
arbejdsvilkår,1880,0,3177
budget,1182,1,1529
medborgere,1850,1,584
værdighed,2658,1,23
vore,1098,1,139
nedskæringerne,5284,1,2
foa,3508,0,23
rengøring,4658,1,23
plejecenter,5695,3,12
efterlønnen,2754,2,280
senere,463,0,644
hævet,4232,1,10
ældreminister,6587,3,4
boligydelsen,6851,1,249
demens,4419,3,10
køkkener,5893,0,17
skæres,3250,1,19
boligydelse,4304,1,1434
nedslidte,4417,0,18
ordentlig,840,1,62
befolkningens,2968,0,13
beboerne,2237,1,170
minusvækst,3540,0,905
foråret,1718,0,17
forringelser,2825,1,76
følge,223,0,1463
offentlige,126,1,8491
kirsten,3620,0,55
dahls,7545,0,50
ramme,1228,0,153
køkken,4343,0,188
behov,296,0,3017
skærer,2633,1,50
skræmmekampagne,3929,0,22
forhandlingsbordet,4587,0,51
samtidig,113,0,1763
rulle,3215,0,125
omprioriteringsbidraget,4528,0,106
lover,1460,0,157
stemte,837,0,2656
hjort,2282,0,3291
jonas,2609,0,1470
hedensted,4792,0,22
frisk,2440,0,143
claus,1089,0,4471
modsatte,1256,0,528
borgerne,323,0,6187
stemt,893,0,1580
kommunernes,1819,0,1714
flertallet,1774,0,115
ændringsforslag,3990,0,52
bureaukrati,1321,0,4242
undtagen,5611,0,27
sass,3053,0,2794
løgn,2885,0,114
folketingssalen,705,0,4652
ekstra,225,1,4330
dagligt,2032,1,61
højrefløjen,1518,0,266
finansloven,953,0,1623
undrer,1723,0,133
mærkeligt,2584,0,56
byrådet,1054,0,6621
kommunes,1750,0,3468
