gud,2488,3,14
afstand,1153,0,340
kristendommen,5024,3,3
muslimske,1305,3,996
imamer,2195,3,903
jÃ¸der,2474,3,2
religiÃ¸se,1282,3,1798
islamisk,1565,3,2873
islam,1013,3,6313
had,1158,1,1467
folkekirken,5568,3,14
charlie,2836,0,251
tro,439,2,709
værdier,451,2,5466
radikalisering,2374,2,17
uanset,230,0,2988
demokrati,285,2,12431
homoseksuelle,2299,1,540
retten,763,1,335
jp,2183,0,7
seksualitet,3867,1,14
søndag,581,0,107
holdninger,693,1,172
samfund,64,1,27661
budskab,727,0,10
baggrund,568,0,768
grundlæggende,657,0,177
hinanden,255,1,4321
etnisk,2818,2,43
grundloven,2292,2,10
navn,1156,0,36
naser,2630,0,1094
terror,811,2,5780
dialog,729,1,582
khader,3142,0,503
pride,3648,1,243
frihed,219,2,6992
brobygger,2682,1,717
posten,2413,0,14
angreb,653,1,6411
mangfoldighed,1971,1,29
vise,444,0,48
køn,1711,1,2905
julen,3061,0,733
mener,27,0,27987
gælder,335,0,34
kvinder,175,1,9961
julekalender,3445,0,355
frit,691,1,60
tør,630,0,102
hører,485,0,267
dronningen,3209,1,116
ret,84,1,11527
december,1006,0,535
samtale,1070,0,296
mænd,379,1,8736
grundlovsdag,2088,1,757
nytår,1667,0,851
slå,713,0,195
fejrer,1696,0,177
journalister,1924,1,73
søvndal,4799,0,25
rettigheder,498,1,9152
færøerne,5708,0,22
magt,1232,0,99
piger,1244,0,2758
hjemme,578,0,56
kenneth,3839,0,38
finn,3279,0,299
holder,189,0,453
trossamfund,4038,3,449
ekstreme,2567,2,362
ekstremisme,2795,2,241
moskeen,4716,2,20
islamister,4020,3,23
miljøer,3214,1,4
hizb,4868,2,176
opfordrer,1121,1,99
biskop,8254,3,2
hellige,4710,3,19
traditioner,3757,1,104
ekstremisterne,4690,3,2
vestlige,2623,1,98
ytre,4201,1,107
moskeer,4867,3,31
grimhøjmoskeen,6444,3,8
terrorister,2631,3,61
ekstremister,3823,2,2
trussel,2207,1,58
værne,2420,1,88
begrænse,2149,1,5
kvindesyn,8597,1,3
udtrykke,4498,0,3
tegninger,6363,3,9
forskellighed,3438,1,10
undertrykkelse,2477,1,31
etniske,3070,2,222
ytringer,5218,1,30
minoriteter,4317,1,5
forsvarer,3562,0,8
racisme,3679,1,104
parallelsamfund,3522,2,6
terroristerne,3725,1,19
tegne,3237,1,34
acceptere,915,0,347
rum,1519,0,590
kulturarv,5382,1,4
danskhed,5453,2,14
præsten,8542,1,5
grundlov,4237,1,34
