universiteterne,3654,3,163
fremdriftsreformen,4520,3,7
uddannelsesloftet,3252,3,1167
professor,2677,3,20
universitet,1373,3,3983
su,1458,3,6204
forskning,1151,3,4001
uddannelser,722,3,8002
videregÃ¥ende,1791,3,4714
forskere,2787,3,17
innovation,2272,3,4
uddannelse,99,2,17058
søger,1409,1,15
kvalitet,735,1,4
fremtiden,222,1,788
gymnasiet,967,2,7057
dalai,6297,0,12
tørnæs,4450,0,21
sofie,2165,0,1947
investere,718,1,16
laura,4166,0,46
viden,662,2,410
carsten,1428,0,3121
konference,1507,0,42
ulla,2516,0,118
københavns,436,0,7696
nielsen,913,0,3951
ungdom,1316,1,166
jacob,1018,0,2271
mark,1989,0,697
kolding,1157,0,378
jakob,1986,0,310
anbefalinger,1744,0,55
jørgen,2342,0,99
konservativ,1761,0,322
michael,1439,0,358
netop,67,0,820
clausen,4275,-1,120
niels,1499,-1,357
igennem,221,0,267
mening,416,0,129
øv,2254,0,360
spare,683,1,413
oplæg,853,0,503
andersen,1288,-1,1141
uddannelsen,4415,1,1
uddannelses-,4825,1,131
undervisere,5276,1,1
uddannelserne,3031,3,111
ruc,5607,3,174
cbs,5151,3,105
kvote,6270,1,45
snit,5162,1,1
optaget,1183,1,93
drop,1795,1,213
uddanne,2464,1,66
suen,8446,2,5
besparelserne,2961,1,80
loft,2720,1,63
eksamen,3785,1,8
loftet,3900,1,8
mobilitet,4339,1,7
ansøgninger,4496,1,5
droppe,1137,1,157
dumt,2170,0,67
investering,1935,1,17
muligheder,202,1,6702
praktik,2536,1,110
drømme,1607,1,870
roser,3317,0,32
vaccinen,8134,0,13
praktikant,6267,0,44
aktører,3575,0,32
kommunikation,3639,0,15
indeholder,1929,0,12
