sÃ¦nke,1065,1,290
topskatten,1619,3,788
selskaber,2397,1,1400
lavere,640,1,2004
multinationale,4017,2,56
skatteministeren,2537,3,255
tilliden,1620,1,474
fÃ¦llesskabet,842,1,14
tjener,1199,0,153
betaler,434,1,10521
lauritzen,3217,1,135
afgifter,983,3,3606
banker,1981,2,2402
medarbejdere,472,1,2210
betale,144,1,21794
grundskylden,1229,3,6274
boligejere,1370,2,5777
boligejerne,1391,2,5609
milliarder,388,1,10890
grundskyld,2236,3,2792
højeste,1286,1,103
hus,461,1,4749
bankerne,2882,1,713
rigeste,1335,2,343
karsten,1985,0,782
betalt,1055,1,36
måneden,1724,0,30
bank,2387,1,1332
penge,36,1,38024
kr,74,1,19643
mærsk,2523,1,1870
kroner,172,1,16527
rige,1503,1,8
dong,2075,0,4144
fejl,570,1,3321
mia,261,1,11200
nulvækst,1236,1,1113
registreringsafgiften,2416,3,474
staten,466,1,3538
hjem,136,0,11060
la,252,1,10298
ansvar,127,1,11033
koster,514,1,2129
velfærden,1036,1,772
engelbrecht,4670,0,74
afgift,2662,3,318
ansvaret,819,1,529
biler,1037,1,2228
benny,2427,0,903
oplysninger,1328,0,3454
undersøgelse,827,0,921
brugt,399,0,265
sager,760,1,1748
året,367,0,3057
borgernes,1295,1,59
pengene,294,1,4795
egne,392,1,94
mindre,70,1,7394
tilbage,56,1,5799
sag,274,0,9526
sagen,258,0,12076
bruge,80,1,9250
bruger,267,1,1183
bruges,445,1,128
frem,51,0,6639
liberal,153,1,11698
borgerne,323,1,4762
dumping,874,1,7278
løn,613,1,7287
mio,289,1,9869
uden,34,0,19782
millioner,336,1,8196
ca,390,0,3242
ministeren,308,0,11307
samråd,512,0,8714
bil,1387,0,2097
alliance,237,0,9894
ole,1168,0,3626
pr,1034,0,114
mikkelsen,2324,0,628
jesper,1579,0,644
brian,1906,0,1134
konservative,134,0,12075
spørgsmål,132,0,15133
jonas,2609,0,368
alliances,1681,0,4283
billigere,857,1,961
1,209,0,8033
nok,35,0,34105
svar,265,0,8023
lejerne,7346,0,2
stige,1676,1,499
stigende,679,1,3780
ejendomsvurderinger,4559,2,4
skandalerne,7106,0,22
snyde,3558,1,621
svindel,6133,1,5
snyder,4347,1,346
haver,6515,0,2
lette,1909,1,545
bunden,1859,0,391
kostet,2835,0,291
moms,3642,2,170
statskassen,2600,1,63
snyd,4680,1,95
dyreste,4903,1,8
afgiften,4600,2,72
skævt,2043,1,107
indkomster,3310,1,21
afgifterne,4961,3,21
